#seg	 value
0	0.000009618
100	0.000085924
200	0.000078145
300	0.000115776
400	0.000128238
500	0.000094170
600	0.000040160
700	0.000043099
800	0.000039180
900	0.000053651
1000	0.000111157
1100	0.000119346
1200	0.000080404
1300	0.000050385
1400	0.000053933
1500	0.000110090
1600	0.000097743
2501	0.000111333
2600	0.000146845
2700	0.000136044
2800	0.000106243
2900	0.000087955
3000	0.000092448
3100	0.000088327
3200	0.000100656
3300	0.000121623
3400	0.000131750
3500	0.000156657
3600	0.000150993
3700	0.000140876
3800	0.000137098
3900	0.000142800
4000	0.000125662
4100	0.000113980
4200	0.000099740
4300	0.000103611
4400	0.000098956
4500	0.000105510
4600	0.000103283
4700	0.000105285
4800	0.000102081
4900	0.000103315
5000	0.000113503
5100	0.000113856
5200	0.000115135
5300	0.000108797
5400	0.000135064
5500	0.000126170
5600	0.000127068
5700	0.000113263
5800	0.000128008
